country,period,scenario,value
ZAF:sapref,2019,high_demand,707740000
ZAF:enref,2020,high_demand,815622000
ZAF:sapref,2020,high_demand,623654000
ZAF:enref,2021,high_demand,852442000
ZAF:sapref,2021,high_demand,674535000
ZAF:enref,2022,high_demand,993897000
ZAF:sapref,2022,high_demand,839218000
ZAF:enref,2023,high_demand,989792000
ZAF:sapref,2023,high_demand,837112000
ZAF:enref,2024,high_demand,1141616000
ZAF:sapref,2024,high_demand,980518000
ZAF:enref,2025,high_demand,1136000282.275164
ZAF:sapref,2025,high_demand,970558422.9711272
ZAF:enref,2008,high_demand,8.89333333333333
ZAF:sapref,2008,high_demand,0.64839110099925
ZAF:natref,2008,high_demand,13.716001529983394
ZAF:enref,2009,high_demand,7.2799999999999985
ZAF:sapref,2009,high_demand,0.7196233473550281
ZAF:natref,2009,high_demand,10.11640329174644
ZAF:enref,2010,high_demand,8.147499999999999
ZAF:sapref,2010,high_demand,0.7708677259201796
ZAF:natref,2010,high_demand,10.569258156805544
ZAF:enref,2011,high_demand,9.861666666666668
ZAF:sapref,2011,high_demand,0.8037375257534161
ZAF:natref,2011,high_demand,12.269760152634946
ZAF:enref,2012,high_demand,11.434166666666664
ZAF:sapref,2012,high_demand,0.8438038414122238
ZAF:natref,2012,high_demand,13.550740237837728
ZAF:enref,2013,high_demand,12.739166666666664
ZAF:sapref,2013,high_demand,0.8912593694532472
ZAF:natref,2013,high_demand,14.293444875066665
ZAF:enref,2014,high_demand,13.695833333333335
ZAF:sapref,2014,high_demand,0.9425959091337544
ZAF:natref,2014,high_demand,14.529909583333335
ZAF:enref,2015,high_demand,12.244166666666667
ZAF:sapref,2015,high_demand,1
ZAF:natref,2015,high_demand,12.244166666666667
ZAF:enref,2016,high_demand,12.392916666666665
ZAF:sapref,2016,high_demand,1.06341
ZAF:natref,2016,high_demand,11.653940311513589
ZAF:enref,2017,high_demand,13.416153846153843
ZAF:sapref,2017,high_demand,1.1194836093
ZAF:natref,2017,high_demand,11.984234279716526
ZAF:enref,2018,high_demand,15.139999999999999
ZAF:sapref,2018,high_demand,1.17120375204966
ZAF:natref,2018,high_demand,12.926871155855082
ZAF:enref,2019,high_demand,15.421249999999999
ZAF:sapref,2019,high_demand,1.219574467009311
ZAF:natref,2019,high_demand,12.644779320295711
ZAF:enref,2020,high_demand,14.406666666666666
ZAF:sapref,2020,high_demand,1.2594301605911753
ZAF:natref,2020,high_demand,11.439035777818907
ZAF:enref,2021,high_demand,17.56
ZAF:sapref,2021,high_demand,1.3150214078796698
ZAF:natref,2021,high_demand,13.353394777286253
ZAF:enref,2022,high_demand,22.68
ZAF:sapref,2022,high_demand,1.41
ZAF:natref,2022,high_demand,16.085106382978726
ZAF:enref,2023,high_demand,22.79
ZAF:sapref,2023,high_demand,1.41
ZAF:natref,2023,high_demand,16.163120567375888
ZAF:enref,2024,high_demand,22.2
ZAF:sapref,2024,high_demand,1.432
ZAF:natref,2024,high_demand,15.502793296089386
ZAF:enref,2025,high_demand,21.59
ZAF:sapref,2025,high_demand,1.57
ZAF:natref,2025,high_demand,13.751592356687897
ZAF:enref,2022,low_demand,0
ZAF:sapref,2022,low_demand,0
ZAF:natref,2022,low_demand,0.873
ZAF:sasol,2022,low_demand,0.8947
ZAF:astron,2022,low_demand,0
ZAF:petrosa,2022,low_demand,0
ZAF:enref,2023,low_demand,0
ZAF:sapref,2023,low_demand,0
ZAF:natref,2023,low_demand,0.875
ZAF:sasol,2023,low_demand,0.9013
ZAF:astron,2023,low_demand,0.5
ZAF:petrosa,2023,low_demand,0
ZAF:enref,2024,low_demand,0
ZAF:sapref,2024,low_demand,0
ZAF:natref,2024,low_demand,0.7
ZAF:sasol,2024,low_demand,0.9079
ZAF:astron,2024,low_demand,0.8
ZAF:petrosa,2024,low_demand,0
ZAF:enref,2025,low_demand,0
ZAF:sapref,2025,low_demand,0
ZAF:natref,2025,low_demand,0.7
ZAF:sasol,2025,low_demand,0.9145
ZAF:astron,2025,low_demand,0.8
ZAF:petrosa,2025,low_demand,0
ZAF:enref,2026,low_demand,0
ZAF:sapref,2026,low_demand,0
ZAF:natref,2026,low_demand,0.7
ZAF:sasol,2026,low_demand,0.9211
ZAF:astron,2026,low_demand,0.8
ZAF:petrosa,2026,low_demand,0
ZAF:enref,2027,low_demand,0
ZAF:sapref,2027,low_demand,0
ZAF:natref,2027,low_demand,0.7
ZAF:sasol,2027,low_demand,0.9277
ZAF:astron,2027,low_demand,0.8
ZAF:petrosa,2027,low_demand,0
ZAF:enref,2028,low_demand,0
ZAF:sapref,2028,low_demand,0
ZAF:natref,2028,low_demand,0.7
ZAF:sasol,2028,low_demand,0.9342
ZAF:astron,2028,low_demand,0.8
ZAF:petrosa,2028,low_demand,0
ZAF:enref,2029,low_demand,0
ZAF:sapref,2029,low_demand,0
ZAF:natref,2029,low_demand,0.7
ZAF:sasol,2029,low_demand,0.8781
ZAF:astron,2029,low_demand,0.8
ZAF:petrosa,2029,low_demand,0
ZAF:enref,2030,low_demand,0
ZAF:sapref,2030,low_demand,0
ZAF:natref,2030,low_demand,0.7
ZAF:sasol,2030,low_demand,0.8781
ZAF:astron,2030,low_demand,0.8
ZAF:petrosa,2030,low_demand,0
ZAF:enref,2031,low_demand,0
ZAF:sapref,2031,low_demand,0
ZAF:natref,2031,low_demand,0
ZAF:sasol,2031,low_demand,0.8781
ZAF:astron,2031,low_demand,0.8
ZAF:petrosa,2031,low_demand,0
ZAF:enref,2032,low_demand,0
ZAF:sapref,2032,low_demand,0
ZAF:natref,2032,low_demand,0
ZAF:sasol,2032,low_demand,0.8781
ZAF:astron,2032,low_demand,0.8
ZAF:petrosa,2032,low_demand,0
ZAF:enref,2033,low_demand,0
ZAF:sapref,2033,low_demand,0
ZAF:natref,2033,low_demand,0
ZAF:sasol,2033,low_demand,0.8444
ZAF:astron,2033,low_demand,0.8
ZAF:petrosa,2033,low_demand,0
ZAF:enref,2034,low_demand,0
ZAF:sapref,2034,low_demand,0
ZAF:natref,2034,low_demand,0
ZAF:sasol,2034,low_demand,0.8107
ZAF:astron,2034,low_demand,0.8
ZAF:petrosa,2034,low_demand,0
ZAF:enref,2035,low_demand,0
ZAF:sapref,2035,low_demand,0
ZAF:natref,2035,low_demand,0
ZAF:sasol,2035,low_demand,0.777
ZAF:astron,2035,low_demand,0.8
ZAF:petrosa,2035,low_demand,0
ZAF:enref,2036,low_demand,0
ZAF:sapref,2036,low_demand,0
ZAF:natref,2036,low_demand,0
ZAF:sasol,2036,low_demand,0.777
ZAF:astron,2036,low_demand,0.8
ZAF:petrosa,2036,low_demand,0
ZAF:enref,2037,low_demand,0
ZAF:sapref,2037,low_demand,0
ZAF:natref,2037,low_demand,0
ZAF:sasol,2037,low_demand,0.777
ZAF:astron,2037,low_demand,0.8
ZAF:petrosa,2037,low_demand,0
ZAF:enref,2038,low_demand,0
ZAF:sapref,2038,low_demand,0
ZAF:natref,2038,low_demand,0
ZAF:sasol,2038,low_demand,0.777
ZAF:astron,2038,low_demand,0.8
ZAF:petrosa,2038,low_demand,0
ZAF:enref,2039,low_demand,0
ZAF:sapref,2039,low_demand,0
ZAF:natref,2039,low_demand,0
ZAF:sasol,2039,low_demand,0.777
ZAF:astron,2039,low_demand,0.8
ZAF:petrosa,2039,low_demand,0
ZAF:enref,2040,low_demand,0
ZAF:sapref,2040,low_demand,0
ZAF:natref,2040,low_demand,0
ZAF:sasol,2040,low_demand,0.777
ZAF:astron,2040,low_demand,0.8
ZAF:petrosa,2040,low_demand,0
ZAF:enref,2041,low_demand,0
ZAF:sapref,2041,low_demand,0
ZAF:natref,2041,low_demand,0
ZAF:sasol,2041,low_demand,0
ZAF:astron,2041,low_demand,0.8
ZAF:petrosa,2041,low_demand,0
ZAF:enref,2042,low_demand,0
ZAF:sapref,2042,low_demand,0
ZAF:natref,2042,low_demand,0
ZAF:sasol,2042,low_demand,0
ZAF:astron,2042,low_demand,0.8
ZAF:petrosa,2042,low_demand,0
ZAF:enref,2043,low_demand,0
ZAF:sapref,2043,low_demand,0
ZAF:natref,2043,low_demand,0
ZAF:sasol,2043,low_demand,0
ZAF:astron,2043,low_demand,0.8
ZAF:petrosa,2043,low_demand,0
ZAF:enref,2044,low_demand,0
ZAF:sapref,2044,low_demand,0
ZAF:natref,2044,low_demand,0
ZAF:sasol,2044,low_demand,0
ZAF:astron,2044,low_demand,0.8
ZAF:petrosa,2044,low_demand,0
ZAF:enref,2045,low_demand,0
ZAF:sapref,2045,low_demand,0
ZAF:natref,2045,low_demand,0
ZAF:sasol,2045,low_demand,0
ZAF:astron,2045,low_demand,0.8
ZAF:petrosa,2045,low_demand,0
ZAF:enref,2046,low_demand,0
ZAF:sapref,2046,low_demand,0
ZAF:natref,2046,low_demand,0
ZAF:sasol,2046,low_demand,0
ZAF:astron,2046,low_demand,0.8
ZAF:petrosa,2046,low_demand,0
ZAF:enref,2047,low_demand,0
ZAF:sapref,2047,low_demand,0
ZAF:natref,2047,low_demand,0
ZAF:sasol,2047,low_demand,0
ZAF:astron,2047,low_demand,0.8
ZAF:petrosa,2047,low_demand,0
ZAF:enref,2048,low_demand,0
ZAF:sapref,2048,low_demand,0
ZAF:natref,2048,low_demand,0
ZAF:sasol,2048,low_demand,0
ZAF:astron,2048,low_demand,0.8
ZAF:petrosa,2048,low_demand,0
ZAF:enref,2049,low_demand,0
ZAF:sapref,2049,low_demand,0
ZAF:natref,2049,low_demand,0
ZAF:sasol,2049,low_demand,0
ZAF:astron,2049,low_demand,0.8
ZAF:petrosa,2049,low_demand,0
ZAF:enref,2050,low_demand,0
ZAF:sapref,2050,low_demand,0
ZAF:natref,2050,low_demand,0
ZAF:sasol,2050,low_demand,0
ZAF:astron,2050,low_demand,0.8
ZAF:petrosa,2050,low_demand,0
