country,period,scenario,value
ZAF:sasol,2040,high_demand,1
ZAF:enref,2041,high_demand,0.16049382716049385
ZAF:natref,2041,high_demand,2041
ZAF:sasol,2041,high_demand,1
ZAF:enref,2042,high_demand,0.16049382716049385
ZAF:natref,2042,high_demand,2042
ZAF:sasol,2042,high_demand,1
ZAF:enref,2043,high_demand,0.16049382716049385
ZAF:natref,2043,high_demand,2043
ZAF:sasol,2043,high_demand,1
ZAF:enref,2044,high_demand,0.16049382716049385
ZAF:natref,2044,high_demand,2044
ZAF:sasol,2044,high_demand,1
ZAF:enref,2045,high_demand,0.16049382716049385
ZAF:natref,2045,high_demand,2045
ZAF:sasol,2045,high_demand,1
ZAF:enref,2046,high_demand,0.16049382716049385
ZAF:natref,2046,high_demand,2046
ZAF:sasol,2046,high_demand,1
ZAF:enref,2047,high_demand,0.16049382716049385
ZAF:natref,2047,high_demand,2047
ZAF:sasol,2047,high_demand,1
ZAF:enref,2048,high_demand,0.16049382716049385
ZAF:natref,2048,high_demand,2048
ZAF:sasol,2048,high_demand,1
ZAF:enref,2049,high_demand,0.16049382716049385
ZAF:natref,2049,high_demand,2049
ZAF:sasol,2049,high_demand,1
ZAF:enref,2050,high_demand,0.16049382716049385
ZAF:natref,2050,high_demand,2050
ZAF:sasol,2050,high_demand,1
ZAF:enref,2022,high_demand,0.45
ZAF:natref,2022,high_demand,2022
ZAF:sasol,2022,high_demand,1
ZAF:enref,2023,high_demand,0.5603
ZAF:natref,2023,high_demand,2023
ZAF:sasol,2023,high_demand,1
ZAF:enref,2024,high_demand,0.5456
ZAF:natref,2024,high_demand,2024
ZAF:sasol,2024,high_demand,1
ZAF:enref,2025,high_demand,0.626
ZAF:natref,2025,high_demand,2025
ZAF:sasol,2025,high_demand,1
ZAF:enref,2026,high_demand,0.7
ZAF:natref,2026,high_demand,2026
ZAF:sasol,2026,high_demand,1
ZAF:enref,2027,high_demand,0.71
ZAF:natref,2027,high_demand,2027
ZAF:sasol,2027,high_demand,1
ZAF:enref,2028,high_demand,0.7
ZAF:natref,2028,high_demand,2028
ZAF:sasol,2028,high_demand,1
ZAF:enref,2029,high_demand,0.7
ZAF:natref,2029,high_demand,2029
ZAF:sasol,2029,high_demand,1
ZAF:enref,2030,high_demand,0.7
ZAF:natref,2030,high_demand,2030
ZAF:sasol,2030,high_demand,1
ZAF:enref,2031,high_demand,0.7
ZAF:natref,2031,high_demand,2031
ZAF:sasol,2031,high_demand,1
ZAF:enref,2032,high_demand,0.7
ZAF:natref,2032,high_demand,2032
ZAF:sasol,2032,high_demand,1
ZAF:enref,2033,high_demand,0.7
ZAF:natref,2033,high_demand,2033
ZAF:sasol,2033,high_demand,1
ZAF:enref,2034,high_demand,0.7
ZAF:natref,2034,high_demand,2034
ZAF:sasol,2034,high_demand,1
ZAF:enref,2035,high_demand,0.7
ZAF:natref,2035,high_demand,2035
ZAF:sasol,2035,high_demand,1
ZAF:enref,2036,high_demand,0.7
ZAF:natref,2036,high_demand,2036
ZAF:sasol,2036,high_demand,1
ZAF:enref,2037,high_demand,0.7
ZAF:natref,2037,high_demand,2037
ZAF:sasol,2037,high_demand,1
ZAF:enref,2038,high_demand,0.7
ZAF:natref,2038,high_demand,2038
ZAF:sasol,2038,high_demand,1
ZAF:enref,2039,high_demand,0.7
ZAF:natref,2039,high_demand,2039
ZAF:sasol,2039,high_demand,1
ZAF:enref,2040,high_demand,0.7
